web_name,team,element_type,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Balogun,Arsenal,FWD,0.0,44,0.2,0,0,0.0,0.0,0.0,0.0,10024,62443,0
Cédric,Arsenal,DEF,0.0,39,0.4,0,0,0.0,0.0,0.0,0.0,35274,42570,0
M.Elneny,Arsenal,MID,0.0,44,0.1,0,4,0.4,1.8,0.5,2.0,12814,19027,0
Fábio Vieira,Arsenal,MID,0.0,54,0.1,0,21,21.9,79.4,63.6,77.0,11478,18593,0
Gabriel,Arsenal,DEF,6.3,50,18.2,17,75,60.3,368.0,75.9,158.0,1572233,2629901,6
Havertz,Arsenal,MID,1.7,71,1.6,3,55,73.2,225.2,224.3,282.0,94271,397701,0
Holding,Crystal Palace,DEF,0.0,43,0.1,0,0,0.0,0.0,0.0,0.0,5389,15246,0
G.Jesus,Arsenal,FWD,2.3,80,4.3,5,53,104.3,242.4,280.8,520.0,983491,880646,8
Jorginho,Arsenal,MID,1.3,53,0.2,4,19,16.4,71.8,82.2,10.0,9151,18932,0
Kiwior,Arsenal,DEF,0.7,43,0.1,1,14,8.6,53.6,13.3,18.0,5366,9721,0
Marquinhos,Arsenal,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,819,11773,0
Martinelli,Arsenal,MID,7.0,77,5.6,14,71,127.0,311.8,460.0,504.0,984325,1836973,3
Nketiah,Arsenal,FWD,2.3,53,4.2,4,64,69.1,226.8,122.2,352.0,1550205,1562907,5
Ødegaard,Arsenal,MID,2.3,85,17.3,3,86,151.8,417.2,707.5,394.0,1851176,2535501,12
Thomas,Arsenal,MID,0.0,48,0.1,0,7,13.1,55.8,60.0,15.0,8587,37291,0
Pepe,Arsenal,MID,0.0,49,0.0,0,0,0.0,0.0,0.0,0.0,667,6383,0
Ramsdale,Arsenal,GK,0.0,46,6.1,0,17,5.6,55.8,0.0,0.0,264407,1447354,0
Rúnarsson,Arsenal,GK,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,990,11078,0
Saka,Arsenal,MID,4.0,91,62.3,3,110,207.6,571.8,807.9,694.0,4551427,4095056,11
Saliba,Arsenal,DEF,2.3,56,37.4,6,81,54.0,384.4,89.6,65.0,3539963,1841708,6
Sambi,Luton,MID,3.3,49,0.0,2,17,14.8,71.6,51.0,26.0,2045,2867,1
Smith Rowe,Arsenal,MID,0.7,53,0.1,1,12,12.9,44.8,20.7,65.0,5223,16463,0
Tavares,Nott'm Forest,DEF,0.3,40,0.3,1,1,4.6,22.4,13.5,10.0,24730,33012,0
Tierney,Arsenal,DEF,0.0,44,0.1,0,0,0.0,0.0,0.0,0.0,2665,28579,0
Tomiyasu,Arsenal,DEF,0.3,45,0.3,0,39,26.2,139.6,67.8,57.0,79466,87771,3
Trossard,Arsenal,MID,3.7,65,1.7,8,55,74.9,215.6,208.8,326.0,298371,684659,6
Trusty,Sheffield Utd,DEF,1.0,39,2.3,1,19,34.3,255.0,34.0,54.0,290965,167332,0
Turner,Nott'm Forest,GK,2.3,39,12.2,1,41,36.4,365.0,0.0,0.0,1135484,1210577,0
White,Arsenal,DEF,2.7,56,11.0,6,75,75.6,361.2,288.3,107.0,1423126,1306937,7
Xhaka,Arsenal,MID,0.0,60,0.0,0,0,0.0,0.0,0.0,0.0,0,1218,0
Zinchenko,Arsenal,DEF,2.3,52,10.4,6,77,75.3,296.4,334.2,123.0,1461907,1117147,11
