web_name,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Balogun,0.0,44,0.2,0,0,0.0,0.0,0.0,0.0,10024,62134,0
Cédric,0.0,39,0.4,0,0,0.0,0.0,0.0,0.0,34964,40565,0
M.Elneny,0.0,44,0.1,0,4,0.4,1.8,0.5,2.0,12793,18576,0
Fábio Vieira,0.0,54,0.1,0,21,21.9,79.4,63.6,77.0,11468,18469,0
Gabriel,4.0,50,17.5,1,58,51.0,322.2,74.9,112.0,1430548,2563052,4
Havertz,2.6,71,1.6,2,52,72.0,219.4,222.0,278.0,89871,392091,0
Holding,0.0,43,0.1,0,0,0.0,0.0,0.0,0.0,5365,15057,0
G.Jesus,3.0,80,5.4,1,48,95.0,216.6,233.9,500.0,972989,754328,8
Jorginho,0.0,53,0.2,0,15,12.4,50.6,64.7,9.0,9011,18682,0
Kiwior,0.4,43,0.1,1,13,8.4,52.0,12.6,18.0,4942,9356,0
Marquinhos,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,819,11730,0
Martinelli,2.8,77,5.4,5,57,114.9,239.0,457.4,458.0,936740,1807620,0
Nketiah,1.6,53,4.4,2,60,65.4,207.6,108.9,348.0,1541154,1529455,5
Ødegaard,3.4,84,16.0,2,83,145.8,407.2,667.2,384.0,1628056,2447535,12
Thomas,0.0,48,0.1,0,7,13.1,55.8,60.0,15.0,8576,37134,0
Pepe,0.0,49,0.0,0,0,0.0,0.0,0.0,0.0,667,6359,0
Ramsdale,0.0,46,6.2,0,17,5.6,55.8,0.0,0.0,262483,1435887,0
Rúnarsson,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,990,10938,0
Saka,3.0,90,59.5,7,107,199.2,557.4,751.7,681.0,4075783,3931368,11
Saliba,2.4,56,36.5,0,75,52.7,371.6,89.2,65.0,3340813,1735647,6
Sambi,3.0,49,0.0,2,15,11.1,65.0,31.2,15.0,1850,2695,1
Smith Rowe,0.4,53,0.1,0,11,12.6,44.0,18.5,65.0,5063,16330,0
Tavares,0.0,40,0.3,0,0,1.8,9.2,7.2,2.0,24516,31948,0
Tierney,0.0,44,0.1,0,0,0.0,0.0,0.0,0.0,2665,28504,0
Tomiyasu,0.2,45,0.3,1,39,26.2,139.6,67.8,57.0,79387,85950,3
Trossard,1.2,65,1.7,1,47,67.5,182.2,200.8,293.0,295906,677682,6
Trusty,1.8,39,2.4,1,18,28.8,235.6,21.7,31.0,282638,146792,0
Turner,2.6,39,12.4,3,40,34.6,347.2,0.0,0.0,1090532,1149554,0
White,2.0,56,10.8,1,69,71.5,339.8,272.8,103.0,1354252,1259437,7
Xhaka,0.0,60,0.0,0,0,0.0,0.0,0.0,0.0,0,1213,0
Zinchenko,2.4,52,12.3,0,71,67.7,270.6,310.9,96.0,1448882,904447,11
Alex Moreno,2.6,50,1.3,1,15,23.1,82.6,57.9,91.0,168883,49854,2
Archer,3.6,45,7.9,1,56,64.3,188.2,223.6,231.0,1347471,1125978,8
Bailey,3.8,57,3.8,8,74,91.5,342.8,265.9,307.0,652461,362722,5
Buendia,0.0,57,0.0,0,0,0.0,0.0,0.0,0.0,717,17049,0
Cash,0.8,47,17.6,0,50,71.2,292.6,135.4,284.0,3693468,2754793,4
Chambers,0.0,39,0.9,0,0,0.0,0.0,0.0,0.0,49982,93613,0
Coutinho,0.0,58,0.2,0,2,1.8,4.0,2.8,12.0,4781,47575,0
Davis,0.0,49,0.1,0,0,0.0,0.0,0.0,0.0,4950,22979,0
Dendoncker,3.2,49,0.0,1,20,10.0,59.2,3.9,37.0,3610,3364,3
Diego Carlos,1.8,44,0.7,1,26,28.9,185.0,41.7,63.0,81900,62623,1
Digne,2.4,46,3.9,0,56,86.8,278.2,467.3,122.0,984778,751829,2
Douglas Luiz,4.4,56,9.1,10,94,116.5,479.4,443.3,242.0,1895274,1262325,18
Duran,1.2,50,0.2,4,23,17.7,81.2,30.5,69.0,50124,45398,3
Hause,0.0,39,0.2,0,0,0.0,0.0,0.0,0.0,12829,18097,0
Iroegbunam,0.2,44,0.0,0,1,0.0,0.0,0.6,0.0,1504,3696,0
Kamara,1.0,50,0.1,0,31,51.7,215.4,263.9,36.0,14254,17952,1
Konsa,1.8,46,3.2,0,51,54.8,324.2,101.8,120.0,360855,147258,4
Martinez,3.2,52,12.2,1,61,47.4,464.0,10.0,0.0,1088701,684266,9
McGinn,4.2,56,2.0,1,78,110.7,407.2,450.9,247.0,288439,145266,8
Mings,0.0,41,1.2,0,0,2.2,3.6,13.0,5.0,10179,1067368,0
